date,population,admission,release
01/01/2023,20,2651.375143,2179.6310562847457
02/01/2023,45,2333.131553,4335.096406250096
03/01/2023,29,3509.7708462318933,3996.391799204024
04/01/2023,16,3604.5489027013414,3238.831491321274
05/01/2023,27,3204.453031733939,4181.974628576176
06/01/2023,34,3908.408621,3882.102289640601
07/01/2023,18,4169.608457843778,1748.642525330837
08/01/2023,26,2454.441903410556,2039.321384777842
09/01/2023,32,2202.3786257607867,4301.469930832269
10/01/2023,27,3647.704898338784,3806.1239874796443
11/01/2023,22,3589.628249987135,4283.2352985823345
12/01/2023,18,3650.7066572120943,3675.510838559598
13/01/2023,22,3454.8475404029773,3857.524128081322
14/01/2023,16,3436.6851129152487,1746.041710498905
15/01/2023,20,2265.239783554073,2064.8980640901373
16/01/2023,52,1961.2647873045144,5024.108209017675
17/01/2023,58,2380.462251,4640.388281481442
18/01/2023,44,2149.7622510726305,4060.280820315157
19/01/2023,56,1866.1639572096308,3924.4799799790226
20/01/2023,54,1672.2330048286783,3612.914828463871
21/01/2023,64,1540.8845199801938,1262.2537173527594
22/01/2023,55,1156.140580586254,1217.6975676201391
23/01/2023,64,915.3534148108527,3462.8042167150265
24/01/2023,64,1297.2113693563076,3345.685446408019
25/01/2023,44,1393.7399407848786,2845.083798
26/01/2023,41,1174.8718089167467,2508.7917345643064
27/01/2023,35,1287.8146660596037,2446.0393536119254
28/01/2023,53,1211.7313327262707,867.7550101775821
29/01/2023,21,1086.0222418171797,974.4863233088951
30/01/2023,39,935.3646661,2304.541879
31/01/2023,25,1139.794078,2218.9887387678323
01/02/2023,24,1164.3567554315846,2454.9180865939193
02/02/2023,25,1198.3150887649178,2200.8585627843954
03/02/2023,32,1171.8021919395212,2079.662873751206
04/02/2023,30,1075.2845151718443,893.3588333471663
05/02/2023,47,901.6178485051777,859.4921666804995
06/02/2023,69,830.9845151718445,1997.096333347166
07/02/2023,75,1089.6095151718444,1894.0010050643377
08/02/2023,58,1136.8186850560141,1835.3984289726486
09/02/2023,60,1171.1524645952823,2041.1913610330002
10/02/2023,46,1381.484153084635,1432.1658476574871
11/02/2023,42,1328.8640065644886,698.0652313756208
12/02/2023,38,1034.8836915091733,717.0811404665299
13/02/2023,45,894.6020211470151,1960.708727
14/02/2023,No data,1109.8537210731056,1763.6746364014894
15/02/2023,53,1177.102963497348,1700.3797088652575
16/02/2023,26,1170.1877461060435,1767.1985122840608
17/02/2023,19,1230.385503,1691.7401789507273
18/02/2023,17,1300.4549469607446,788.5165678396163
19/02/2023,19,1088.0063358496332,815.7665678396163
20/02/2023,20,951.4230025162998,1783.955274403323
21/02/2023,35,1365.5329050012028,1746.3945663117324
22/02/2023,32,1367.7414511119543,1658.4421132092793
23/02/2023,29,1310.6320907203797,1643.9032243203906
24/02/2023,29,1359.7986063235614,1647.4891892326714
25/02/2023,18,1565.624062944566,814.5320311130131
26/02/2023,19,1231.0791911496942,835.0327886887707
27/02/2023,23,1095.801160846664,1964.021858
28/02/2023,24,1412.5892921597951,1720.3656641466457
01/03/2023,21,1499.975144558762,1898.3189636943803
02/03/2023,15,1471.0766858680904,1796.7692560920411
03/03/2023,23,1514.9516858680906,1711.358210864867
04/03/2023,21,1478.867475902429,901.6710313776875
05/03/2023,38,1362.4512365861897,882.2764332222198
06/03/2023,36,1231.5160257825007,2016.2624832832703
07/03/2023,48,1583.812851179326,1759.7163141746012
08/03/2023,33,1580.6114622904372,1557.1448856031725
09/03/2023,23,1624.6893843683595,1753.1933704516575
10/03/2023,41,1687.8462924694936,1748.3619521115436
11/03/2023,50,1648.8023765623805,876.208106
12/03/2023,18,1417.219043229047,866.2671968667878
13/03/2023,16,1234.2212077312115,2493.7629691500597
14/03/2023,33,2003.0173157898193,1844.0186579057493
15/03/2023,51,1717.041680314184,1866.0595309216224
16/03/2023,30,1855.818664441168,1810.463279950371
17/03/2023,42,1841.025735148239,1726.963279950371
18/03/2023,32,2003.5575533300575,1013.0671760542668
19/03/2023,25,1571.6556885281927,1075.614795101886
20/03/2023,28,1381.350695275831,2286.5592395463295
21/03/2023,24,1826.896226,1963.9481284352198
22/03/2023,23,2079.5509876734914,2081.013388175479
23/03/2023,25,1945.141832488575,2094.9119576615485
24/03/2023,20,2033.7378494228537,1958.6427268923176
25/03/2023,24,2147.023563708567,1103.4339856335766
26/03/2023,15,1780.1064641414682,1159.5737292233202
27/03/2023,44,1565.3842419192456,1123.190395889987
28/03/2023,33,1558.889003824008,2495.682062556654
29/03/2023,30,2042.818388103392,2013.9400356021267
30/03/2023,25,1974.953933605604,2278.794156481247
31/03/2023,36,2126.188607265278,2178.4370136241046
01/04/2023,17,2148.998131074801,1098.520346957438
02/04/2023,11,1704.8481310748016,1196.067966005057
03/04/2023,30,1572.9909882176585,2542.6153344261097
04/04/2023,54,1853.768765995436,2182.481243517019
05/04/2023,41,1898.7613165004868,2457.622639620915
06/04/2023,29,2166.0527928002725,1928.8881780435368
07/04/2023,35,1888.6071746199214,2166.487312242671
08/04/2023,35,2370.1309841437314,1051.9922073475661
09/04/2023,28,1699.2195622323093,1217.4445882999469
10/04/2023,15,1506.7326237177897,2662.7928496199474
11/04/2023,22,2298.8482642015642,2969.9929713609513
12/04/2023,23,2869.9387823793913,2569.3191165389285
13/04/2023,29,2527.812196713037,2663.546115030633
14/04/2023,43,2731.9288633797037,2299.557085699892
15/04/2023,41,2233.989699008721,1045.910621053428
16/04/2023,39,1831.7654565844782,1011.8661766089836
17/04/2023,28,1661.570651389673,2609.6895532323597
18/04/2023,12,2277.2416470606686,2453.1062198990267
19/04/2023,15,2351.6500433704796,2380.3562198990267
20/04/2023,15,2283.502758,2399.209782700959
21/04/2023,27,2449.3128427128427,2509.5431160342923
22/04/2023,32,2458.979509379509,1073.9067523979288
23/04/2023,23,1764.9113275613272,959.9067523979289
24/04/2023,24,1713.9113275613272,2732.3789746201505
25/04/2023,36,2381.168806193806,2514.6293714455473
26/04/2023,41,2494.9307109557108,3782.9543714455476
27/04/2023,35,3618.0418220668225,2673.969255
28/04/2023,38,2613.500566817702,2276.4965244301125
29/04/2023,45,2399.9946937217233,1115.9639914467105
30/04/2023,30,1794.9946937217235,1017.9118028945222
01/05/2023,24,1639.6318991089288,2662.195362472199
02/05/2023,20,2274.9697573291396,2437.719872276121
03/05/2023,19,2412.0114239958066,2754.784829541078
04/05/2023,21,2405.3225351069177,2566.480633736882
05/05/2023,36,2302.1710199554027,1266.3139670702158
06/05/2023,27,1926.1710199554025,962.3139670702157
07/05/2023,25,1883.5460199554025,976.8139670702157
08/05/2023,30,1755.9690968784794,2939.409926666175
09/05/2023,43,2406.352935262318,2647.089926666175
10/05/2023,31,2636.9329352623176,2887.5342123804603
11/05/2023,33,3922.361506690889,2753.5897679360164
12/05/2023,15,2641.028173357556,2255.9028992491476
13/05/2023,17,2382.7301935595765,1020.7119901582387
14/05/2023,23,1887.5301935595762,1019.7119901582387
15/05/2023,22,1721.580193559576,3402.2725962188442
16/05/2023,28,2877.0150420444247,2593.0456731419213
17/05/2023,32,2650.6550420444246,2847.151834758083
18/05/2023,43,2887.1960558981323,2622.359932542651
19/05/2023,28,2505.3019382510734,2510.1932658759847
20/05/2023,15,2507.8019382510734,1053.6377103204295
21/05/2023,13,1916.1352715844064,1018.957154764874
22/05/2023,27,1707.8574938066288,3423.222131723399
23/05/2023,27,2943.505727293572,1848.1680433386655
24/05/2023,27,1867.7112467740915,2596.5057722763945
25/05/2023,19,2524.200424263269,3072.820707
26/05/2023,18,2966.672286,2011.3207073413296
27/05/2023,20,2171.838952401797,1121.976690247313
28/05/2023,11,1971.3197216325666,1090.7022147228372
29/05/2023,9,1697.6379034507484,2986.6282053988284
30/05/2023,10,2305.187146,2587.627388405364
31/05/2023,10,2539.6429955481926,2577.8026706394694
01/06/2023,10,2517.6029955481927,2584.7637096005087
02/06/2023,9,2618.802995548193,2538.7387096005086
03/06/2023,7,2582.6279955481928,1138.1137096005084
04/06/2023,7,1836.127995548193,1121.1137096005084
05/06/2023,9,1864.627995548193,2934.7137096005085
06/06/2023,10,2469.2946622148597,2774.3387096005085
07/06/2023,11,2581.319662,2570.122042933842
08/06/2023,11,2782.9992076694048,2819.8493156611144
09/06/2023,9,2676.3173894875868,2592.1826489944483
10/06/2023,19,2780.1431470633443,1189.8243156611145
11/06/2023,27,1950.422693,1130.9909823277812
12/06/2023,28,1794.4681470633445,2941.457648994448
13/06/2023,20,2623.368147063344,3315.7608235976218
14/06/2023,17,3416.415766110963,2571.917966454765
15/06/2023,21,2667.8205280157254,2706.366018402817
16/06/2023,29,2743.1841643793614,2654.0602712763803
17/06/2023,25,2745.016530513368,1180.1158268319361
18/06/2023,24,2167.9609749578126,1243.5424934986029
19/06/2023,36,1937.4009749578122,3091.4155093716186
20/06/2023,37,2560.5037994209306,2919.566429221121
21/06/2023,34,2963.836278075043,2716.4870641417556
22/06/2023,31,2761.241039979805,2882.221340871315
23/06/2023,39,3015.6588677495192,2674.666938355592
24/06/2023,25,2918.5139959546473,1275.5002716889257
25/06/2023,18,2201.5139959546477,1312.5002716889257
26/06/2023,22,1945.058440399093,3081.2875140972733
27/06/2023,32,2728.0895282246333,3028.620847430607
28/06/2023,24,3430.089528224634,2739.465609335369
29/06/2023,24,2789.938099653205,2790.67672
30/06/2023,26,3008.1047663198715,2876.6100537798134
01/07/2023,18,2944.1047663198715,1227.8100537798134
02/07/2023,14,2314.0047663198716,1231.2767204464799
03/07/2023,15,2150.1714329865385,3297.9433871131464
04/07/2023,28,2803.171432986538,3224.281551364354
05/07/2023,25,2933.2269885420937,2959.7846569544163
06/07/2023,27,3027.752544097649,3104.0838112884544
07/07/2023,31,3014.0152290870788,3083.7221833814774
08/07/2023,29,3001.115229087079,1276.622183381478
09/07/2023,24,2187.115229087078,1296.522183381478
10/07/2023,31,1908.3652290870782,1154.1927855066251
11/07/2023,23,1974.2636942582712,3467.7345210438157
12/07/2023,22,2786.263694258271,3245.1678543771486
13/07/2023,28,2857.2636942582703,2970.5774503367447
14/07/2023,25,2916.4931037376805,2881.5774503367447
15/07/2023,14,2856.7687447633207,1220.0774503367447
16/07/2023,14,2185.7354114299883,1208.333860593155
17/07/2023,22,1900.5121014066779,3308.6824786417733
18/07/2023,38,2683.651928246505,3028.415811975107
19/07/2023,23,2932.8185949131716,3036.915811975107
20/07/2023,31,2812.8185949131716,2946.4515262608206
21/07/2023,33,2863.890023,2878.026068385363
22/07/2023,17,2822.1400234845996,1228.026068385363
23/07/2023,13,2194.6400234846005,1249.676068385363
24/07/2023,19,1908.630932575509,3238.342735
25/07/2023,32,2681.130932575509,2988.412179496474
26/07/2023,30,2761.408710353287,2996.541695053555
27/07/2023,21,2705.5057879411074,2937.795617340945
28/07/2023,23,2716.900359144884,2755.9622840076113
29/07/2023,17,2948.900359144884,1269.9622840076113
30/07/2023,13,2080.4003591448845,1224.6250747052857
31/07/2023,20,1858.942994803799,3480.1281346808055
01/08/2023,23,2864.4693105932724,3025.128134680806
02/08/2023,22,2779.4693105932724,3189.9114680141392
03/08/2023,23,3223.929567003529,3234.609436712108
04/08/2023,24,2897.2747218486834,2688.1623788010497
05/08/2023,20,2638.5728454436253,1266.2783754834447
06/08/2023,22,1923.572845443626,1072.5487006866967
07/08/2023,29,1657.6192682078533,2898.9371855351815
08/08/2023,33,2444.859268207853,3300.6038522018484
09/08/2023,36,3007.192601541187,2593.4788522018484
10/08/2023,34,2562.3176015411864,2664.4788522018484
11/08/2023,23,2549.394525,2444.612185535181
12/08/2023,20,2603.867601541186,1168.1955188685151
13/08/2023,20,1873.700935,1127.6121855351819
14/08/2023,21,1701.4688594028219,2242.5386756032804
15/08/2023,26,2128.5758712056136,2942.481949354311
16/08/2023,29,2724.1547711014596,2873.0651361857736
17/08/2023,17,2556.5615874923187,2569.7401361857746
18/08/2023,19,2560.781825587557,2714.4749846706222
19/08/2023,17,2439.4484922542238,1184.9486688811494
20/08/2023,22,1760.4221764647498,1021.115335547816
21/08/2023,24,1655.4555097980833,2655.25978
22/08/2023,22,2368.9999542425276,2709.801446658926
23/08/2023,37,2475.3332875758606,2612.3282665822985
24/08/2023,33,2696.7298620248034,2731.0208483683277
25/08/2023,32,2574.8703748453163,2700.801151398631
26/08/2023,31,2689.779465754407,1314.2859998834804
27/08/2023,21,1834.779465754408,1188.2859998834801
28/08/2023,25,1593.7794657544077,2983.2724863699655
29/08/2023,32,2397.991177466119,2811.7724863699655
30/08/2023,30,2414.991177466119,2928.3530419255217
31/08/2023,33,2407.7800663550083,2641.2924358649157
01/09/2023,30,2422.5657806407226,2614.6863752588547
02/09/2023,30,2436.2324473073886,1130.4280570495393
03/09/2023,47,1776.3187550307207,1092.210815670229
04/09/2023,37,1826.2687550307205,2737.8108156702287
05/09/2023,25,2242.3250050307206,2380.123315670228
06/09/2023,36,2161.1937550307202,2380.123315670228
07/09/2023,47,2267.1937550307202,2601.289982336895
08/09/2023,65,2597.241374078339,2646.129725926639
09/09/2023,55,2630.4849638219293,1164.193828490742
10/09/2023,47,1906.9432971552626,1149.3938284907417
11/09/2023,30,1617.150148275157,2769.4019836856405
12/09/2023,27,2315.4899773106326,2750.449963483621
13/09/2023,37,2556.351088421743,1360.9499634836213
14/09/2023,39,1851.8510884217437,2666.699963483621
15/09/2023,42,2379.0510884217433,2706.749963483621
16/09/2023,19,2549.0177550884105,1203.2499634836213
17/09/2023,18,1780.0177550884105,1105.4999634836213
18/09/2023,27,1545.2260884217437,2901.8332968169543
19/09/2023,17,2188.792755,2669.8332968169543
20/09/2023,27,2379.792755,2549.3332968169548
21/09/2023,41,2209.9420904491794,2826.347909515778
22/09/2023,37,2608.5385415447226,2567.370238064422
23/09/2023,34,2465.4779354841166,1206.6010072951913
24/09/2023,16,1850.8112688174504,1124.3702380644222
25/09/2023,41,1552.128341988182,2828.054878744821
26/09/2023,36,2252.1914268965415,2772.743557990104
27/09/2023,26,2182.6983682938403,2640.6663831408364
28/09/2023,38,1986.7765982680012,978.1663831408364
29/09/2023,33,1325.7765982680016,1534.9997164741696
30/09/2023,33,2492.9265982680013,766.3777448785138
01/10/2023,19,1184.391677633081,578.3251132995663
02/10/2023,35,1133.3916776330807,3090.8663845856436
03/10/2023,25,1958.5320785129688,2665.0410057977647
04/10/2023,24,2198.2655449339345,2534.617019311278
05/10/2023,24,2321.8323881053793,2544.0723564233645
06/10/2023,22,2244.8824639929376,2674.7501506558538
07/10/2023,28,2559.380370076634,1164.2166448924374
08/10/2023,42,1725.014629335893,1071.0916448924374
09/10/2023,52,1628.5297808510445,2869.0386145894063
10/10/2023,37,2190.4585687298327,2685.581525037168
11/10/2023,26,2233.010807535803,2614.303093664619
12/10/2023,30,2261.638258516195,2731.803093664619
13/10/2023,33,2423.638258516195,2495.580871442397
14/10/2023,30,2284.9160362939724,1200.4415857281112
15/10/2023,31,1729.839845817782,1042.3665857281112
16/10/2023,34,1459.4231791511154,2805.8249190614447
17/10/2023,26,2096.589845817782,2782.3249190614447
18/10/2023,25,2179.589845817782,3426.6129625397048
19/10/2023,27,2033.4818997592643,2901.4058404564225
20/10/2023,21,2292.1718566934546,2790.445883746466
21/10/2023,28,2437.769529853628,1163.416717079799
22/10/2023,39,1847.102863186961,1118.5278281909102
23/10/2023,36,1745.4639742980723,3035.444036982119
24/10/2023,45,2263.284487118585,2758.0892798970985
25/10/2023,39,2188.2844871185853,2493.7468556546746
26/10/2023,46,1910.6753962094942,1670.0468556546748
27/10/2023,43,1389.2753962094941,815.0246334324523
28/10/2023,29,1185.0531739872717,941.0246334324523
29/10/2023,31,1462.0531739872717,818.5246334324523
30/10/2023,41,1553.6007183968854,2418.7810921529067
31/10/2023,45,2085.8085778306677,1283.026957104948
01/11/2023,28,1605.3270078646863,1260.3681335755366
02/11/2023,28,1609.3270078646863,1261.3681335755366
03/11/2023,28,1606.8270078646863,1261.3681335755366
04/11/2023,32,1606.8270078646863,1261.3681335755366
05/11/2023,27,1621.1003774299031,366.49308814605564
06/11/2023,29,660.9705279043314,3553.4211487788903
07/11/2023,32,2865.921114168988,2567.101604629572
08/11/2023,40,2281.339704549899,2596.903553
09/11/2023,33,2891.2319221807525,2958.6146637926313
10/11/2023,40,2648.443033291864,2790.431330459298
11/11/2023,44,2798.9597,1223.6288052067728
12/11/2023,37,1889.3182858171167,1052.6632879653935
13/11/2023,18,1725.3182858171167,2840.5180575259506
14/11/2023,36,2524.3268603080064,2774.329955
15/11/2023,34,2634.1935269746727,2753.4491031389202
16/11/2023,53,2682.747804617933,2751.567467517731
17/11/2023,47,2630.0877386113325,2744.1703601599365
18/11/2023,24,3060.6955817485878,1275.5592490488257
19/11/2023,14,2148.5844706374764,1156.2509157154923
20/11/2023,32,1753.9511373041435,1262.0842490488258
21/11/2023,29,1741.2844706374767,3206.4413919059684
22/11/2023,40,2706.0642325422386,3249.417582382159
23/11/2023,22,2615.8780853560916,2860.285325827852
24/11/2023,35,2645.8024767418588,2645.597048
25/11/2023,54,2668.9691434085257,1206.4370478481203
26/11/2023,43,2007.889143408526,1153.2703811814538
27/11/2023,38,1685.389143408526,3105.645381181453
28/11/2023,51,2460.389143408526,2694.3358573719297
29/11/2023,51,2614.139661,2884.133476419549
30/11/2023,37,2520.597994340203,2701.179630265703
01/12/2023,44,2511.7563276735364,2724.349349435422
02/12/2023,46,2755.352888520097,1206.275275361348
03/12/2023,40,1967.852888520097,1135.2752753613481
04/12/2023,32,1721.352888520097,3261.380668
05/12/2023,39,2546.7445551867636,2557.9181464198286
06/12/2023,49,2553.983942964471,2827.8881634040263
07/12/2023,31,2888.983942964471,2404.6614967373594
08/12/2023,37,2385.983942964471,2742.633718959582
09/12/2023,18,2685.0311651866928,1251.7837189595818
10/12/2023,20,1974.0311651866934,1129.2837189595818
11/12/2023,48,1622.0311651866934,3102.5825695342955
12/12/2023,42,2544.197832,2897.774633026358
13/12/2023,31,2655.545847726376,2750.9412996930255
14/12/2023,51,2549.5791810597093,2599.052410804136
15/12/2023,42,2387.8014032819315,2442.869871121596
16/12/2023,23,2479.9918794724076,1087.6903839421088
17/12/2023,17,1781.1085461390742,1163.0237172754423
18/12/2023,26,1381.7752128057407,1355.690383942109
19/12/2023,39,1487.2275937581219,2258.190383942109
20/12/2023,20,1985.2228318533598,2386.302065247761
21/12/2023,16,2137.7596538626512,2375.0484836067717
22/12/2023,24,2091.0860427515404,2792.5484836067717
23/12/2023,13,2775.752709418207,1115.9818169401049
24/12/2023,9,1938.3304871959847,1156.881816940105
25/12/2023,10,1793.9735828243893,3126.1415604474114
26/12/2023,30,2802.9574475074915,3161.5145763204264
27/12/2023,16,2904.076891951935,3194.576481082331
28/12/2023,12,3038.084534041029,3042.5461155015164
29/12/2023,19,2962.1198938249318,3058.8724673674715
30/12/2023,29,2989.1198938249318,1297.2570827520867
31/12/2023,18,2181.3698938249327,1221.1993904443943
,,,
,,,
,,,
End,,,
