date,population,admission,release
2023-01-01,126182.1,2312.025936728735,1355.4136728906826
2023-01-02,126182.4,1877.5347086585598,1378.468128336227
2023-01-03,126182.4,1917.1926033954019,2498.251075726017
2023-01-04,126182.47196685582,2113.9417845211788,1627.0834943994655
2023-01-05,126182.47196685582,1549.3491740948814,1136.149201714216
2023-01-06,126182.47196685582,1137.7578907798031,1132.3666259566398
2023-01-07,126187.86323167902,1137.7578907798031,1132.3666259566398
2023-01-08,126193.25449650218,1137.7578907798031,1132.3666259566398
2023-01-09,126198.64576132532,1137.7578907798031,1132.3666259566398
2023-01-10,126204.03702614851,1137.7578907798031,1132.3666259566398
2023-01-11,126209.42829097166,1137.7578907798031,1132.3666259566398
2023-01-12,126214.81955579479,1137.7578907798031,1132.3666259566398
2023-01-13,126220.210820618,1137.7578907798031,1132.3666259566398
2023-01-14,126225.60208544116,1137.7578907798031,1132.3666259566398
2023-01-15,126230.9933502643,1137.7578907798031,1132.3666259566398
2023-01-16,126230.9933502643,1137.7578907798031,1132.3666259566398
2023-01-17,126241.7758799106,1137.7578907798031,1132.3666259566398
2023-01-18,126247.1671447338,1137.7578907798031,1132.3666259566398
2023-01-19,126252.55840955698,1137.7578907798031,1132.3666259566398
2023-01-20,126482.94967438014,1151.5309299954893,2334.1278875665475
2023-01-21,127554.52997429101,3406.7081874774294,1219.627887566547
2023-01-22,128171.61027420188,1835.2081874774294,1134.627887566547
2023-01-23,128551.69057411276,1514.7081874774292,3076.1278875665475
2023-01-24,128151.27087402366,2675.7081874774294,2490.527887566547
2023-01-25,127998.95117393453,2338.2081874774294,2577.027887566547
2023-01-26,127763.63147384544,2342.2081874774294,2738.2374835261435
2023-01-27,127508.57894547346,2485.1677834370257,2395.4467345731996
2023-01-28,127563.71056344299,2450.578352542717,1123.946734573199
2023-01-29,128223.34218141252,1783.5783525427164,1249.4125655852697
2023-01-30,130295.42625992054,3349.749197482364,2681.182261831457
2023-01-31,129835.41319557145,2223.1577689109354,4154.170833260027
2023-02-01,127990.40013122236,2309.157768910936,2478.5494358801157
2023-02-02,127782.1438354322,2270.455439944414,2659.3784024012216
2023-02-03,127425.88753964212,2303.122106611081,2465.711735734555
2023-02-04,127607.96457718531,2646.122106611081,1105.7117357345544
2023-02-05,128241.37494806181,1739.1221066110809,1188.7117357345544
2023-02-06,128697.78531893833,1645.1221066110807,2870.7784024012217
2023-02-07,128171.8623564815,2346.455439944415,2816.974968924827
2023-02-08,127798.9393940247,2582.4554399444146,2701.0794505724975
2023-02-09,127515.98059303092,2419.1178247199127,2700.07662571374
2023-02-10,127411.02179203706,2595.6178247199127,2625.57662571374
2023-02-11,127334.56299104323,2547.017824719913,1147.314720951835
2023-02-12,127856.19942814465,1670.284491386579,996.6480542851683
2023-02-13,128434.83586524602,1573.6844913865789,2966.012760167522
2023-02-14,0,2331.788412955207,2474.3833484028155
2023-02-15,127548.4126610175,2227.2884129552067,2724.1833484028157
2023-02-16,127252.5177255699,2428.288412955207,2782.149869509075
2023-02-17,127108.29018459098,2637.9223285301705,2512.649869509075
2023-02-18,127127.81264361207,2532.1723285301705,1141.078440937646
2023-02-19,127797.90653120463,1810.3723285301699,1200.4451076043126
2023-02-20,128106.46708546382,1511.0056618635028,1782.4451076043124
2023-02-21,128280.02763972299,1956.005661863503,2954.4451076043133
2023-02-22,127722.83819398217,2392.588995196837,2621.945107604313
2023-02-23,127386.48208157471,2291.4223285301705,2687.7784409376463
2023-02-24,127067.12596916722,2368.4223285301705,2559.3784409376462
2023-02-25,127046.66985675972,2538.9223285301705,1126.0451076043125
2023-02-26,127609.88041101897,1689.255661863503,1219.5451076043128
2023-02-27,127940.09096527813,1549.755661863503,2948.545107604313
2023-02-28,127378.30151953732,2385.088995196837,2736.545107604313
2023-03-01,127134.17874046315,2492.4223285301705,2761.545107604313
2023-03-02,126756.05596138904,2383.422328530171,2761.045107604313
2023-03-03,126617.13318231488,2623.1223285301703,2466.045107604313
2023-03-04,126714.21040324075,2562.1223285301703,1139.0451076043125
2023-03-05,127331.95429083328,1757.4556618635029,1148.2117742709793
2023-03-06,127757.6981784258,1574.955661863503,2766.21177427098
2023-03-07,127340.27539935167,2348.2889951968373,2709.045107604313
2023-03-08,127135.48595361086,2505.005661863504,2720.795107604313
2023-03-09,127053.19650787003,2638.005661863504,2633.46583931163
2023-03-10,126722.43145237314,2304.6845236521217,2508.9495791490285
2023-03-11,126650.6663968762,2437.1845236521217,1185.0329124823616
2023-03-12,127322.40134137933,1859.434523652121,1067.199579149028
2023-03-13,127666.13628588238,1410.9345236521208,2693.292171741621
2023-03-14,127192.9749340892,2218.797486615085,2751.5778860273354
2023-03-15,126890.62310610552,2448.726058043656,2615.5778860273354
2023-03-16,126638.77127812186,2364.2260580436564,2490.5778860273354
2023-03-17,126486.91945013817,2339.7260580436564,2419.237886027335
2023-03-18,126546.57262215449,2477.891058043656,1131.237886027335
2023-03-19,127156.97579417078,1742.641058043656,1167.549206782052
2023-03-20,127357.87896618713,1432.6410580436554,2749.7378860273357
2023-03-21,126919.78213820345,2313.141058043656,2486.237886027335
2023-03-22,126812.18531021975,2377.891058043656,2643.987886027335
2023-03-23,126656.3384822361,2490.141058043656,2546.987886027335
2023-03-24,126682.99165425242,2573.641058043656,2252.987886027335
2023-03-25,126980.1448262687,2547.3077247103224,1193.237886027335
2023-03-26,127667.29799828504,1880.891058043656,1163.737886027335
2023-03-27,128086.45117030136,1582.3910580436557,2795.1924314818807
2023-03-28,127532.19525140859,2241.928248126301,2576.6300250072363
2023-03-29,127386.95708399512,2477.2374197239337,2609.475587137414
2023-03-30,127080.9689165816,2311.9874197239337,2532.975587137414
2023-03-31,126836.98074916816,2282.9874197239337,2307.1422538040806
2023-04-01,126925.32591508803,2395.4874197239337,1245.3922538040804
2023-04-02,127442.67108100787,1761.9374197239338,1215.3922538040804
2023-04-03,127765.2662469277,1536.9874197239335,2974.4255871374144
2023-04-04,127153.72807951421,2363.6874197239335,2515.497799680968
2023-04-05,127088.88038829123,2471.092181628695,2636.9398728517
2023-04-06,126935.03269706822,2483.0921816286955,2646.9398728517
2023-04-07,126827.93500584521,2539.8421816286955,1974.9398728516996
2023-04-08,127044.33731462224,2190.5921816286955,1107.898206185033
2023-04-09,127591.9146233992,1657.142181628695,1152.5648728516994
2023-04-10,128073.9919321762,1633.892181628695,2646.0648728517
2023-04-11,127769.31924095319,2341.8921816286957,2759.2315395183664
2023-04-12,127496.31321639687,2486.225514962029,2704.731539518367
2023-04-13,127253.90719184052,2462.325514962029,2690.231539518367
2023-04-14,127154.50116728421,2589.1588482953616,2413.2077299945568
2023-04-15,127394.71419034689,2654.2778959144093,1160.5648728516994
2023-04-16,128037.42721340961,1802.4028959144098,1291.9398728516994
2023-04-17,128366.26523647232,1620.7778959144096,2905.9398728517
2023-04-18,127793.00325953503,2332.6778959144103,2725.4398728517
2023-04-19,127508.74128259772,2441.17789591441,2811.4398728517
2023-04-20,127173.97930566045,2476.67789591441,2572.5252387053583
2023-04-21,126996.25391408901,2394.799847133922,2332.5252387053583
2023-04-22,127280.40947489855,2616.6807995148743,1070.0252387053579
2023-04-23,128041.56503570804,1831.180799514874,1155.0252387053579
2023-04-24,128387.38726318424,1500.8474661815405,2909.0252387053583
2023-04-25,127807.54282399373,2329.1807995148747,2547.105698475473
2023-04-26,127704.2501089412,2444.8072362964836,2708.5393452884305
2023-04-27,127351.74527267652,2361.4688524581,2564.4736887227737
2023-04-28,127356.94043641185,2569.6688524581,2368.9736887227737
2023-04-29,127597.13560014717,2609.1688524581,1163.4736887227734
2023-04-30,128367.16409721582,1933.502185791433,1256.1403553894402
2023-05-01,128561.0259276178,1450.0021857914326,3001.64035538944
2023-05-02,127806.88775801982,2247.5021857914335,2712.762577611663
2023-05-03,127473.76069953291,2503.091074680322,2475.2181331672177
2023-05-04,127326.633641046,2328.091074680322,2754.2181331672177
2023-05-05,127170.00658255913,2594.5355191247663,2374.7181331672177
2023-05-06,127458.37952407222,2663.091074680322,1201.0514665005512
2023-05-07,128123.919132252,1866.091074680322,1355.1347998338847
2023-05-08,128375.04207376513,1607.7577413469883,2849.0924605358277
2023-05-09,127485.84856492879,2249.234394445829,2581.4279032821605
2023-05-10,127381.65505609242,2479.234394445829,2690.2830945389915
2023-05-11,127165.2429680211,2475.321826139818,2529.150580877789
2023-05-12,127133.0808799498,2498.155159473151,2418.4839142111223
2023-05-13,127159.91879187855,2444.821826139818,1113.9839142111223
2023-05-14,127932.42337047389,1886.4884928064846,1104.5505808777891
2023-05-15,128328.66128240257,1502.455159473151,2960.2172475444554
2023-05-16,127707.39919433126,2338.288492806485,2635.3839142111224
2023-05-17,127486.97043959328,2415.455159473151,2753.3839142111224
2023-05-18,127121.20835152196,2387.621826139818,2537.3839142111224
2023-05-19,127053.44626345072,2469.621826139818,2351.5163817435896
2023-05-20,127198.28417537939,2503.821826139818,1121.6089142111223
2023-05-21,127830.7470873081,1756.696826139818,1203.5339142111222
2023-05-22,128287.44333257008,1660.2301594731512,2901.5339142111225
2023-05-23,127675.63957783215,2289.7301594731516,2614.533914211122
2023-05-24,127360.83582309418,2299.7301594731516,2638.033914211122
2023-05-25,127215.69873502286,2492.8968261398177,2780.1589142111225
