Date,Value
01/01/2023,20
02/01/2023,45
03/01/2023,29
04/01/2023,16
05/01/2023,27
06/01/2023,34
07/01/2023,18
08/01/2023,26
09/01/2023,32
10/01/2023,27
11/01/2023,22
12/01/2023,18
13/01/2023,22
14/01/2023,16
15/01/2023,20
16/01/2023,52
17/01/2023,58
18/01/2023,44
19/01/2023,56
20/01/2023,54
21/01/2023,64
22/01/2023,55
23/01/2023,64
24/01/2023,64
25/01/2023,44
26/01/2023,41
27/01/2023,35
28/01/2023,53
29/01/2023,21
30/01/2023,39
31/01/2023,25
01/02/2023,24
02/02/2023,25
03/02/2023,32
04/02/2023,30
05/02/2023,47
06/02/2023,69
07/02/2023,75
08/02/2023,58
09/02/2023,60
10/02/2023,46
11/02/2023,42
12/02/2023,38
13/02/2023,45
14/02/2023,No data
15/02/2023,53
16/02/2023,26
17/02/2023,19
18/02/2023,17
19/02/2023,19
20/02/2023,20
21/02/2023,35
22/02/2023,32
23/02/2023,29
24/02/2023,29
25/02/2023,18
26/02/2023,19
27/02/2023,23
28/02/2023,24
01/03/2023,21
02/03/2023,15
03/03/2023,23
04/03/2023,21
05/03/2023,38
06/03/2023,36
07/03/2023,48
08/03/2023,33
09/03/2023,23
10/03/2023,41
11/03/2023,50
12/03/2023,18
13/03/2023,16
14/03/2023,33
15/03/2023,51
16/03/2023,30
17/03/2023,42
18/03/2023,32
19/03/2023,25
20/03/2023,28
21/03/2023,24
22/03/2023,23
23/03/2023,25
24/03/2023,20
25/03/2023,24
26/03/2023,15
27/03/2023,44
28/03/2023,33
29/03/2023,30
30/03/2023,25
31/03/2023,36
01/04/2023,17
02/04/2023,11
03/04/2023,30
04/04/2023,54
05/04/2023,41
06/04/2023,29
07/04/2023,35
08/04/2023,35
09/04/2023,28
10/04/2023,15
11/04/2023,22
12/04/2023,23
13/04/2023,29
14/04/2023,43
15/04/2023,41
16/04/2023,39
17/04/2023,28
18/04/2023,12
19/04/2023,15
20/04/2023,15
21/04/2023,27
22/04/2023,32
23/04/2023,23
24/04/2023,24
25/04/2023,36
26/04/2023,41
27/04/2023,35
28/04/2023,38
29/04/2023,45
30/04/2023,30
01/05/2023,24
02/05/2023,20
03/05/2023,19
04/05/2023,21
05/05/2023,36
06/05/2023,27
07/05/2023,25
08/05/2023,30
09/05/2023,43
10/05/2023,31
11/05/2023,33
12/05/2023,15
13/05/2023,17
14/05/2023,23
15/05/2023,22
16/05/2023,28
17/05/2023,32
18/05/2023,43
19/05/2023,28
20/05/2023,15
21/05/2023,13
22/05/2023,27
23/05/2023,27
24/05/2023,27
25/05/2023,19
26/05/2023,18
27/05/2023,20
28/05/2023,11
29/05/2023,9
30/05/2023,10
31/05/2023,10
01/06/2023,10
02/06/2023,9
03/06/2023,7
04/06/2023,7
05/06/2023,9
06/06/2023,10
07/06/2023,11
08/06/2023,11
09/06/2023,9
10/06/2023,19
11/06/2023,27
12/06/2023,28
13/06/2023,20
14/06/2023,17
15/06/2023,21
16/06/2023,29
17/06/2023,25
18/06/2023,24
19/06/2023,36
20/06/2023,37
21/06/2023,34
22/06/2023,31
23/06/2023,39
24/06/2023,25
25/06/2023,18
26/06/2023,22
27/06/2023,32
28/06/2023,24
29/06/2023,24
30/06/2023,26
01/07/2023,18
02/07/2023,14
03/07/2023,15
04/07/2023,28
05/07/2023,25
06/07/2023,27
07/07/2023,31
08/07/2023,29
09/07/2023,24
10/07/2023,31
11/07/2023,23
12/07/2023,22
13/07/2023,28
14/07/2023,25
15/07/2023,14
16/07/2023,14
17/07/2023,22
18/07/2023,38
19/07/2023,23
20/07/2023,31
21/07/2023,33
22/07/2023,17
23/07/2023,13
24/07/2023,19
25/07/2023,32
26/07/2023,30
27/07/2023,21
28/07/2023,23
29/07/2023,17
30/07/2023,13
31/07/2023,20
01/08/2023,23
02/08/2023,22
03/08/2023,23
04/08/2023,24
05/08/2023,20
06/08/2023,22
07/08/2023,29
08/08/2023,33
09/08/2023,36
10/08/2023,34
11/08/2023,23
12/08/2023,20
13/08/2023,20
14/08/2023,21
15/08/2023,26
16/08/2023,29
17/08/2023,17
18/08/2023,19
19/08/2023,17
20/08/2023,22
21/08/2023,24
22/08/2023,22
23/08/2023,37
24/08/2023,33
25/08/2023,32
26/08/2023,31
27/08/2023,21
28/08/2023,25
29/08/2023,32
30/08/2023,30
31/08/2023,33
01/09/2023,30
02/09/2023,30
03/09/2023,47
04/09/2023,37
05/09/2023,25
06/09/2023,36
07/09/2023,47
08/09/2023,65
09/09/2023,55
10/09/2023,47
11/09/2023,30
12/09/2023,27
13/09/2023,37
14/09/2023,39
15/09/2023,42
16/09/2023,19
17/09/2023,18
18/09/2023,27
19/09/2023,17
20/09/2023,27
21/09/2023,41
22/09/2023,37
