date,population
2024-11-28T11:00:00,40.3
2024-11-28T12:00:00,18.2
2024-11-28T13:00:00,14.5
2024-11-28T14:00:00,12.3
2024-11-28T15:00:00,14.9
2024-11-28T16:00:00,24.5
2024-11-28T17:00:00,18.1
2024-11-28T18:00:00,14.1
2024-11-28T19:00:00,17.2
2024-11-28T20:00:00,18.7
2024-11-28T21:00:00,18.5
2024-11-28T22:00:00,15.6
2024-11-28T23:00:00,14.3
2024-11-28T24:00:00,11.1
2024-11-29T01:00:00,10.2
2024-11-29T02:00:00,10.2
2024-11-29T03:00:00,26.4
2024-11-29T04:00:00,10.3
2024-11-29T05:00:00,11.3
2024-11-29T06:00:00,11.1
2024-11-29T07:00:00,10.5
2024-11-29T08:00:00,10.1
2024-11-29T09:00:00,10.7
2024-11-29T10:00:00,10.8
2024-11-29T11:00:00,16.3
