date,population
2024-11-28T11:00:00,32.83
2024-11-28T12:00:00,13.491
2024-11-28T13:00:00,9.245
2024-11-28T14:00:00,8.774
2024-11-28T15:00:00,11.604
2024-11-28T16:00:00,18.962
2024-11-28T17:00:00,14.151
2024-11-28T18:00:00,11.509
2024-11-28T19:00:00,14.057
2024-11-28T20:00:00,15
2024-11-28T21:00:00,14.057
2024-11-28T22:00:00,12.547
2024-11-28T23:00:00,10.943
2024-11-28T24:00:00,8.113
2024-11-29T01:00:00,7.642
2024-11-29T02:00:00,7.264
2024-11-29T03:00:00,20.755
2024-11-29T04:00:00,7.076
2024-11-29T05:00:00,6.792
2024-11-29T06:00:00,6.604
2024-11-29T07:00:00,6.604
2024-11-29T08:00:00,5.943
2024-11-29T09:00:00,5.377
2024-11-29T10:00:00,5.472
2024-11-29T11:00:00,6.509
