date,population
01/01/2024,51.1
02/01/2024,49.1
03/01/2024,42.1
04/01/2024,21.1
05/01/2024,19.1
06/01/2024,19.1
07/01/2024,42.1
08/01/2024,50.1
09/01/2024,57.1
10/01/2024,42.1
11/01/2024,48.1
12/01/2024,41.1
13/01/2024,28.1
14/01/2024,39.1
15/01/2024,31.1
16/01/2024,30.1
17/01/2024,19.1
18/01/2024,15.1
19/01/2024,28.1
20/01/2024,52.1
21/01/2024,66.1
22/01/2024,68.1
23/01/2024,51.1
24/01/2024,55.1
25/01/2024,38.1
26/01/2024,48.1
27/01/2024,31.1
28/01/2024,30.1
29/01/2024,24.1
30/01/2024,37.1
31/01/2024,39.1
01/02/2024,37.1
02/02/2024,49.1
03/02/2024,52.1
04/02/2024,58.1
05/02/2024,63.1
06/02/2024,59.1
07/02/2024,21.1
08/02/2024,27.1
09/02/2024,31.1
10/02/2024,23.1
11/02/2024,27.1
12/02/2024,49.1
13/02/2024,38.1
14/02/2024,0
15/02/2024,0
16/02/2024,44.1
17/02/2024,42.1
18/02/2024,43.1
19/02/2024,47.1
20/02/2024,48.1
21/02/2024,56.1
22/02/2024,51.1
23/02/2024,37.1
24/02/2024,24.1
25/02/2024,43.1
26/02/2024,53.1
27/02/2024,17.1
28/02/2024,30.1
29/02/2024,40.1
01/03/2024,49.1
02/03/2024,46.1
03/03/2024,25.1
04/03/2024,36.1
05/03/2024,22.1
06/03/2024,17.1
07/03/2024,38.1
08/03/2024,47.1
09/03/2024,50.1
10/03/2024,39.1
11/03/2024,28.1
12/03/2024,37.1
13/03/2024,55.1
14/03/2024,54.1
15/03/2024,62.1
16/03/2024,41.1
17/03/2024,57.1
18/03/2024,46.1
19/03/2024,49.1
20/03/2024,38.1
21/03/2024,38.1
22/03/2024,58.1
23/03/2024,68.1
24/03/2024,56.1
25/03/2024,49.1
26/03/2024,41.1
27/03/2024,59.1
28/03/2024,69.1
29/03/2024,54.1
30/03/2024,44.1
31/03/2024,51.1
01/04/2024,49.1
02/04/2024,41.1
03/04/2024,55.1
04/04/2024,51.1
05/04/2024,66.1
06/04/2024,75.1
07/04/2024,78.1
08/04/2024,52.1
09/04/2024,65.1
10/04/2024,39.1
11/04/2024,46.1
12/04/2024,54.1
13/04/2024,59.1
14/04/2024,72.1
15/04/2024,77.1
16/04/2024,72.1
17/04/2024,62.1
18/04/2024,53.1
19/04/2024,59.1
20/04/2024,55.1
21/04/2024,71.1
22/04/2024,24.1
23/04/2024,43.1
24/04/2024,44.1
25/04/2024,24.1
26/04/2024,50.1
27/04/2024,61.1
28/04/2024,43.1
29/04/2024,28.1
30/04/2024,36.1
01/05/2024,40.1
02/05/2024,61.1
03/05/2024,48.1
04/05/2024,51.1
05/05/2024,44.1
06/05/2024,55.1
07/05/2024,52.1
08/05/2024,57.1
09/05/2024,50.1
10/05/2024,59.1
11/05/2024,82.1
12/05/2024,72.1
13/05/2024,53.1
14/05/2024,49.1
15/05/2024,44.1
16/05/2024,25.1
17/05/2024,35.1
18/05/2024,68.1
19/05/2024,97.1
20/05/2024,77.1
21/05/2024,0
22/05/2024,50.1
23/05/2024,56.1
24/05/2024,46.1
25/05/2024,54.1
26/05/2024,51.1
27/05/2024,60.1
28/05/2024,43.1
29/05/2024,57.1
30/05/2024,59.1
31/05/2024,58.1
01/06/2024,67.1
02/06/2024,64.1
03/06/2024,41.1
04/06/2024,42.1
05/06/2024,49.1
06/06/2024,53.1
07/06/2024,52.1
08/06/2024,55.1
09/06/2024,54.1
10/06/2024,57.1
11/06/2024,57.1
12/06/2024,56.1
13/06/2024,47.1
14/06/2024,45.1
15/06/2024,48.1
16/06/2024,59.1
17/06/2024,55.1
18/06/2024,50.1
19/06/2024,53.1
20/06/2024,42.1
21/06/2024,60.1
22/06/2024,52.1
23/06/2024,50.1
24/06/2024,39.1
25/06/2024,68.1
26/06/2024,80.1
27/06/2024,58.1
28/06/2024,48.1
29/06/2024,44.1
30/06/2024,47.1
01/07/2024,34.1
02/07/2024,45.1
03/07/2024,40.1
04/07/2024,51.1
05/07/2024,40.1
06/07/2024,44.1
07/07/2024,38.1
08/07/2024,31.1
09/07/2024,0
10/07/2024,0
11/07/2024,34.1
12/07/2024,36.1
13/07/2024,37.1
14/07/2024,36.1
15/07/2024,32.1
16/07/2024,43.1
17/07/2024,35.1
18/07/2024,39.1
19/07/2024,51.1
20/07/2024,21.1
21/07/2024,43.1
22/07/2024,37.1
23/07/2024,43.1
24/07/2024,28.1
25/07/2024,31.1
26/07/2024,35.1
27/07/2024,33.1
28/07/2024,32.1
29/07/2024,46.1
30/07/2024,62.1
31/07/2024,81.1
01/08/2024,71.1
02/08/2024,45.1
03/08/2024,45.1
04/08/2024,40.1
05/08/2024,39.1
06/08/2024,43.1
07/08/2024,46.1
08/08/2024,0
09/08/2024,0
10/08/2024,0
