date,population
2024-11-28T11:00:00,50000.1075
2024-11-28T12:00:00,38000.44125
2024-11-28T13:00:00,29000.07
2024-11-28T14:00:00,38000.05875
2024-11-28T15:00:00,45000.5175
2024-11-28T16:00:00,53000.74125
2024-11-28T17:00:00,74000.77875
2024-11-28T18:00:00,83000.7675
2024-11-28T19:00:00,90000.27
2024-11-28T20:00:00,84000.34125
2024-11-28T21:00:00,77000.45625
2024-11-28T22:00:00,62000.53875
2024-11-28T23:00:00,51000.6375
2024-11-28T24:00:00,51000.6375
2024-11-29T01:00:00,53000.35875
2024-11-29T02:00:00,41000.88375
2024-11-29T03:00:00,27000.9225
2024-11-29T04:00:00,20000.84625
2024-11-29T05:00:00,16000.63875
2024-11-29T06:00:00,12000.6225
2024-11-29T07:00:00,13000.57875
2024-11-29T08:00:00,23000.14125
2024-11-29T09:00:00,26000.58375
2024-11-29T10:00:00,29000.26125
2024-11-29T11:00:00,38000.6325
