date,population
01/01/2024,4.1
02/01/2024,4.1
03/01/2024,4.1
04/01/2024,9.1
05/01/2024,9.1
06/01/2024,10.1
07/01/2024,7.1
08/01/2024,7.1
09/01/2024,6.1
10/01/2024,4.1
11/01/2024,6.1
12/01/2024,10.1
13/01/2024,12.1
14/01/2024,5.1
15/01/2024,8.1
16/01/2024,9.1
17/01/2024,10.1
18/01/2024,10.1
19/01/2024,8.1
20/01/2024,7.1
21/01/2024,6.1
22/01/2024,7.1
23/01/2024,6.1
24/01/2024,13.1
25/01/2024,7.1
26/01/2024,6.1
27/01/2024,9.1
28/01/2024,9.1
29/01/2024,17.1
30/01/2024,7.1
31/01/2024,8.1
01/02/2024,11.1
02/02/2024,4.1
03/02/2024,2.1
04/02/2024,6.1
05/02/2024,7.1
06/02/2024,6.1
07/02/2024,10.1
08/02/2024,7.1
09/02/2024,5.1
10/02/2024,7.1
11/02/2024,11.1
12/02/2024,4.1
13/02/2024,4.1
14/02/2024,4.1
15/02/2024,6.1
16/02/2024,4.1
17/02/2024,5.1
18/02/2024,5.1
19/02/2024,8.1
20/02/2024,8.1
21/02/2024,3.1
22/02/2024,4.1
23/02/2024,4.1
24/02/2024,9.1
25/02/2024,11.1
26/02/2024,4.1
27/02/2024,11.1
28/02/2024,8.1
29/02/2024,7.1
01/03/2024,4.1
02/03/2024,5.1
03/03/2024,10.1
04/03/2024,9.1
05/03/2024,11.1
06/03/2024,23.1
07/03/2024,25.1
08/03/2024,28.1
09/03/2024,25.1
10/03/2024,19.1
11/03/2024,22.1
12/03/2024,7.1
13/03/2024,4.1
14/03/2024,6.1
15/03/2024,4.1
16/03/2024,6.1
17/03/2024,4.1
18/03/2024,7.1
19/03/2024,5.1
20/03/2024,8.1
21/03/2024,17.1
22/03/2024,6.1
23/03/2024,5.1
24/03/2024,5.1
25/03/2024,6.1
26/03/2024,11.1
27/03/2024,3.1
28/03/2024,3.1
29/03/2024,3.1
30/03/2024,6.1
31/03/2024,8.1
01/04/2024,5.1
02/04/2024,5.1
03/04/2024,3.1
04/04/2024,5.1
05/04/2024,7.1
06/04/2024,6.1
07/04/2024,6.1
08/04/2024,7.1
09/04/2024,4.1
10/04/2024,5.1
11/04/2024,3.1
12/04/2024,7.1
13/04/2024,7.1
