date,population
2024-11-28T11:00:00,7.38409
2024-11-28T12:00:00,20.95485
2024-11-28T13:00:00,26.74238
2024-11-28T14:00:00,22.15227
2024-11-28T15:00:00,5.58796
2024-11-28T16:00:00,1.59656
2024-11-28T17:00:00,1.39699
2024-11-28T18:00:00,2.59441
2024-11-28T19:00:00,4.19097
2024-11-28T20:00:00,2.19527
2024-11-28T21:00:00,1.79613
2024-11-28T22:00:00,5.58796
2024-11-28T23:00:00,10.77678
2024-11-28T24:00:00,14.96775
2024-11-29T01:00:00,16.96345
2024-11-29T02:00:00,11.77463
2024-11-29T03:00:00,11.9742
2024-11-29T04:00:00,7.58366
2024-11-29T05:00:00,10.57721
2024-11-29T06:00:00,13.57076
2024-11-29T07:00:00,5.78753
2024-11-29T08:00:00,12.77248
2024-11-29T09:00:00,21.35399
2024-11-29T10:00:00,28.33894
2024-11-29T11:00:00,16.3
