date,population
2024-10-29T11:00:00,23.69894
2024-10-29T12:00:00,29.08733
2024-10-29T13:00:00,27.79012
2024-10-29T14:00:00,25.24561
2024-10-29T15:00:00,22.45163
2024-10-29T16:00:00,24.74668
2024-10-29T17:00:00,20.70539
2024-10-29T18:00:00,11.62495
2024-10-29T19:00:00,10.47743
2024-10-29T20:00:00,12.17377
2024-10-29T21:00:00,4.44043
2024-10-29T22:00:00,2.59441
2024-10-29T23:00:00,5.93721
2024-10-29T24:00:00,12.37334
2024-10-30T01:00:00,18.22739
2024-10-30T02:00:00,19.15872
2024-10-30T03:00:00,6.33635
2024-10-30T04:00:00,18.31055
2024-10-30T05:00:00,19.40818
2024-10-30T06:00:00,19.25851
2024-10-30T07:00:00,12.92216
2024-10-30T08:00:00,15.86582
2024-10-30T09:00:00,17.46238
2024-10-30T10:00:00,16.96345
2024-10-30T11:00:00,17.11313
2024-10-30T12:00:00,21.40388
2024-10-30T13:00:00,22.95055
2024-10-30T14:00:00,22.25206
2024-10-30T15:00:00,25.39528
2024-10-30T16:00:00,21.9527
2024-10-30T17:00:00,14.91786
2024-10-30T18:00:00,16.81377
2024-10-30T19:00:00,16.11528
2024-10-30T20:00:00,11.22581
2024-10-30T21:00:00,11.82452
2024-10-30T22:00:00,22.80087
2024-10-30T23:00:00,20.50582
2024-10-30T24:00:00,18.26066
2024-10-31T01:00:00,24.87973
2024-10-31T02:00:00,27.87328
2024-10-31T03:00:00,34.62539
2024-10-31T04:00:00,32.28045
2024-10-31T05:00:00,18.26066
2024-10-31T06:00:00,4.98925
2024-10-31T07:00:00,7.28431
2024-10-31T08:00:00,3.54237
2024-10-31T09:00:00,2.19527
2024-10-31T10:00:00,6.33635
2024-10-31T11:00:00,16.86367
2024-10-31T12:00:00,20.40603
2024-10-31T13:00:00,19.15872
2024-10-31T14:00:00,21.00474
2024-10-31T15:00:00,17.3127
2024-10-31T16:00:00,18.21076
2024-10-31T17:00:00,14.06969
2024-10-31T18:00:00,0.19957
2024-10-31T19:00:00,-0.49893
2024-10-31T20:00:00,-0.44903
2024-10-31T21:00:00,-0.44903
2024-10-31T22:00:00,-0.6985
2024-10-31T23:00:00,-0.49893
2024-10-31T24:00:00,-0.24946
2024-11-01T01:00:00,9.9785
2024-11-01T02:00:00,23.15012
2024-11-01T03:00:00,29.73593
2024-11-01T04:00:00,34.72518
2024-11-01T05:00:00,31.53206
2024-11-01T06:00:00,19.75743
2024-11-01T07:00:00,16.56431
2024-11-01T08:00:00,13.37119
2024-11-01T09:00:00,26.14367
2024-11-01T10:00:00,33.9269
2024-11-01T11:00:00,33.72733
2024-11-01T12:00:00,35.32389
2024-11-01T13:00:00,31.53206
2024-11-01T14:00:00,30.53421
2024-11-01T15:00:00,28.33894
2024-11-01T16:00:00,30.53421
2024-11-01T17:00:00,24.94625
2024-11-01T18:00:00,22.75098
2024-11-01T19:00:00,15.76603
2024-11-01T20:00:00,27.54066
2024-11-01T21:00:00,32.33034
2024-11-01T22:00:00,23.74883
2024-11-01T23:00:00,7.58366
2024-11-01T24:00:00,6.98495
2024-11-02T01:00:00,4.98925
2024-11-02T02:00:00,17.16302
2024-11-02T03:00:00,8.58151
2024-11-02T04:00:00,6.18667
2024-11-02T05:00:00,4.19097
2024-11-02T06:00:00,4.98925
2024-11-02T07:00:00,5.9871
2024-11-02T08:00:00,9.57936
2024-11-02T09:00:00,12.17377
2024-11-02T10:00:00,15.9656
2024-11-02T11:00:00,23.54926
2024-11-02T12:00:00,33.12862
2024-11-02T13:00:00,32.33034
2024-11-02T14:00:00,31.53206
2024-11-02T15:00:00,28.73808
2024-11-02T16:00:00,26.74238
2024-11-02T17:00:00,26.94195
2024-11-02T18:00:00,23.74883
2024-11-02T19:00:00,14.96775
2024-11-02T20:00:00,7.58366
2024-11-02T21:00:00,6.98495
2024-11-02T22:00:00,6.78538
2024-11-02T23:00:00,11.77463
2024-11-02T24:00:00,22.75098
2024-11-03T01:00:00,28.73808
2024-11-03T02:00:00,28.73808
2024-11-03T03:00:00,27.54066
2024-11-03T04:00:00,30.33464
2024-11-03T05:00:00,28.33894
2024-11-03T06:00:00,27.14152
2024-11-03T07:00:00,26.34324
2024-11-03T08:00:00,26.74238
2024-11-03T09:00:00,28.53851
2024-11-03T10:00:00,34.72518
2024-11-03T11:00:00,36.72088
2024-11-03T12:00:00,33.52776
2024-11-03T13:00:00,32.72948
2024-11-03T14:00:00,37.12002
2024-11-03T15:00:00,29.13722
2024-11-03T16:00:00,31.33249
2024-11-03T17:00:00,29.53636
2024-11-03T18:00:00,28.73808
2024-11-03T19:00:00,32.33034
2024-11-03T20:00:00,30.13507
2024-11-03T21:00:00,25.74453
2024-11-03T22:00:00,21.35399
2024-11-03T23:00:00,20.75528
2024-11-03T24:00:00,22.7509821
2024-11-04T01:00:00,26.34324
2024-11-04T02:00:00,28.93765
2024-11-04T03:00:00,26.74238
2024-11-04T04:00:00,22.35184
2024-11-04T05:00:00,20.35614
2024-11-04T06:00:00,17.56216
2024-11-04T07:00:00,9.9785
2024-11-04T08:00:00,6.58581
2024-11-04T09:00:00,4.98925
2024-11-04T10:00:00,12.17377
2024-11-04T11:00:00,21.55356
2024-11-04T12:00:00,24.54711
2024-11-04T13:00:00,22.35184
2024-11-04T14:00:00,21.35399
2024-11-04T15:00:00,18.75958
2024-11-04T16:00:00,13.17162
2024-11-04T17:00:00,10.37764
2024-11-04T18:00:00,12.37334
2024-11-04T19:00:00,12.17377
2024-11-04T20:00:00,11.9742
2024-11-04T21:00:00,8.78108
2024-11-04T22:00:00,6.38624
2024-11-04T23:00:00,14.36904
2024-11-04T24:00:00,20.95485
2024-11-05T01:00:00,20.15657
2024-11-05T02:00:00,28.73808
2024-11-05T03:00:00,29.73593
2024-11-05T04:00:00,29.13722
2024-11-05T05:00:00,20.35614
2024-11-05T06:00:00,19.15872
2024-11-05T07:00:00,10.57721
2024-11-05T08:00:00,5.78753
2024-11-05T09:00:00,7.58366
2024-11-05T10:00:00,9.77893
2024-11-05T11:00:00,14.56861
2024-11-05T12:00:00,13.37119
2024-11-05T13:00:00,13.77033
2024-11-05T14:00:00,11.9742
2024-11-05T15:00:00,10.57721
2024-11-05T16:00:00,6.38624
2024-11-05T17:00:00,3.79183
2024-11-05T18:00:00,3.19312
2024-11-05T19:00:00,3.19312
2024-11-05T20:00:00,6.78538
2024-11-05T21:00:00,3.9914
2024-11-05T22:00:00,8.38194
2024-11-05T23:00:00,6.78538
2024-11-05T24:00:00,4.59011
2024-11-06T01:00:00,2.99355
2024-11-06T02:00:00,3.59226
2024-11-06T03:00:00,3.79183
2024-11-06T04:00:00,2.39484
2024-11-06T05:00:00,1.19742
2024-11-06T06:00:00,0.79828
2024-11-06T07:00:00,0.59871
2024-11-06T08:00:00,0.79828
2024-11-06T09:00:00,0.99785
2024-11-06T10:00:00,1.59656
2024-11-06T11:00:00,2.79398
2024-11-06T12:00:00,4.98925
2024-11-06T13:00:00,9.18022
2024-11-06T14:00:00,0
2024-11-06T15:00:00,5.78753
2024-11-06T16:00:00,3.9914
2024-11-06T17:00:00,8.38194
2024-11-06T18:00:00,12.97205
2024-11-06T19:00:00,21.75313
2024-11-06T20:00:00,25.54496
2024-11-06T21:00:00,29.73593
2024-11-06T22:00:00,28.13937
2024-11-06T23:00:00,23.9484
2024-11-06T24:00:00,19.55786
2024-11-07T01:00:00,17.76173
2024-11-07T02:00:00,19.957
2024-11-07T03:00:00,17.56216
2024-11-07T04:00:00,13.9699
2024-11-07T05:00:00,11.57506
2024-11-07T06:00:00,10.57721
2024-11-07T07:00:00,14.16947
2024-11-07T08:00:00,8.98065
2024-11-07T09:00:00,6.38624
2024-11-07T10:00:00,6.38624
2024-11-07T11:00:00,12.37334
2024-11-07T12:00:00,20.15657
2024-11-07T13:00:00,19.35829
2024-11-07T14:00:00,25.54496
2024-11-07T15:00:00,21.35399
2024-11-07T16:00:00,18.75958
2024-11-07T17:00:00,16.16517
2024-11-07T18:00:00,14.96775
2024-11-07T19:00:00,13.37119
2024-11-07T20:00:00,13.9699
2024-11-07T21:00:00,11.17592
2024-11-07T22:00:00,13.57076
2024-11-07T23:00:00,10.97635
2024-11-07T24:00:00,7.78323
2024-11-08T01:00:00,7.78323
2024-11-08T02:00:00,10.37764
2024-11-08T03:00:00,12.17377
2024-11-08T04:00:00,11.77463
2024-11-08T05:00:00,10.77678
2024-11-08T06:00:00,14.56861
2024-11-08T07:00:00,17.76173
2024-11-08T08:00:00,14.36904
2024-11-08T09:00:00,22.75098
2024-11-08T10:00:00,14.36904
